企业地址,公司名,公司类型,地址,成立日期,所属地区,所属行业,核准日期,法定代表人信息,注册号,注册资本,登记机关,纳税人识别号,组织机构代码,经营状态,经营范围,统一社会信用代码,英文名,营业期限,登记状态,曾用名,官网,电话,邮箱
韶关市曲江区乌石镇濛浬村委上肖村,韶关市裕辉新型建材有限公司,有限责任公司(自然人独资),韶关市曲江区乌石镇濛浬村委上肖村,2006-09-06,广东省,制造业,2017-07-17,李业辉,440200000002741,100万元人民币,韶关市曲江区工商行政管理局,9144020079294907X0,79294907-X,存续,综合利用粉煤灰生产建筑材料；销售：建筑材料。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,9144020079294907X0,"Shaoguan Deguang Environment-friendly Building Materials Co., Ltd.",2006-09-06 至 无固定期限,存续,,,13415629470,1225325896@qq.com
湖北省襄阳市宜城市刘猴,宜城市兴森人造板有限公司,有限责任公司(自然人投资或控股),湖北省襄阳市宜城市刘猴,2004-03-17,,制造业,2015-04-30,谢福照,-,50万元,宜城市工商行政管理局,9142068475704614XE,75704614-X,存续（在营、开业、在册）,工业用建筑模板、家庭装饰板加工销售（经营期限至2018年3月31日止）。,9142068475704614XE,"Yicheng Xingsen Artificial Board Co., Ltd.",2004-03-17 至 无固定期限,存续,,,87654321,742049192@qq.com
深圳市龙华新区龙华街道油松社区尚游公馆3楼303,金凯易通通信(深圳)有限公司,外商独资企业,深圳市龙华新区龙华街道油松社区尚游公馆3楼303,2006-03-14,广东省,制造业,2015-09-18,罗福璋,440301503272807,(香港元)100万元,深圳市市场监督管理局,914403007839058929,78390589-2,存续（在营、开业、在册）,网络通讯产品软硬件的技术开发、数据库及计算机网络服务技术开发，相关技术咨询服务，销售自行开发的技术成果。,914403007839058929,"Jinkai Yitong Communication (Shenzhen) Co., Ltd.",2006-03-14 至 2016-03-14,存续,,,13600197066,13600197066@139.com
河北省石家庄市长安区南村镇小屯村村北二排,河北宏丰金属制品有限公司,有限责任公司,河北省石家庄市长安区南村镇小屯村村北二排,2015-11-12,河北省,制造业,2016-10-13,何伟,-,3550万人民币,石家庄市工商行政管理局,91130100MA07KYMX5H,-,存续（在营、开业、在册）,防护网的安装及销售，五金制品、橡胶制品、输送设备、电线电缆、轴承、交通设备、矿山设备及配件、水泵及配件、减速机及配件、机电产品、化工产品（易制毒化学危险品除外）、钢材、电子产品、机械设备及配件、压力管道及配件、补偿器、冷却器、弹簧支座、弹簧吊架、四通管件、金属软管的销售；金属制品的加工及生产销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91130100MA07KYMX5H,-,2015-11-12 至 2035-11-11,存续,,,15032117888,暂无
江西省宜春市宜丰县天宝乡藤桥村,宜丰县翔宇教学仪器有限公司,有限责任公司(自然人投资或控股),江西省宜春市宜丰县天宝乡藤桥村,2011-02-24,江西省,制造业,2016-04-28,谢解生,360924210006321,301万人民币,宜丰县市场和质量监督管理局,9136092456867629XX,56867629-X,存续（在营、开业、在册）,教学模型、教具、文具用品。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,9136092456867629XX,-,2011-02-24 至 2051-02-23,存续,,,13707055756,1203763510@qq.com
绍兴市东湖镇湖山北路3号,绍兴盛大制笔有限公司,有限责任公司(自然人投资或控股),绍兴市东湖镇湖山北路3号,2004-10-23,浙江省,制造业,2016-10-21,谢金科,330600000069000,50万人民币,绍兴市越城区市场监督管理局,91330602767998224P,76799822-4,存续,制造、销售：笔、装饰画及笔的包装（上述经营范围涉及前置审批的除外）。,91330602767998224P,-,2004-10-23 至 2019-12-31,存续,,,0575-88617198,暂无
清河县杨二庄工业区,河北晶安绒毛制品有限公司,有限责任公司(自然人独资),清河县杨二庄工业区,2016-04-13,河北省,制造业,2017-02-06,李宗财,-,500万人民币,清河县市场监督管理局,91130534MA07PQ2L5W,-,存续（在营、开业、在册）,绒毛及制品加工销售；家纺、服装购销（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,91130534MA07PQ2L5W,-,2016-04-13 至 2036-04-12,存续,,,15335995222,暂无
横县横州镇柳明路294号,广西横县振华商贸信息服务中心（普通合伙企业）,普通合伙企业,横县横州镇柳明路294号,1992-04-15,广西壮族自治区,制造业,2017-05-05,谢荣钰,450127200000542,-,横县工商行政管理局,91450127X19497117E,-,存续（在营、开业、在册）,商品交易信息咨询服务，场地（房屋）出租。,91450127X19497117E,-,1992-04-15 至 无固定期限,存续,广西横县振华茶厂（普通合伙企业）   广西横县附城振华茶厂   横县附城振华茶厂,,0771-7220422,980380995@q.com
浙江省象山县涂茨镇崔家岙47号,象山盛航针织有限公司,有限责任公司(自然人投资或控股),浙江省象山县涂茨镇崔家岙47号,2013-11-11,浙江省,制造业,2016-12-05,孙亚珍,330225000105863,6万人民币,象山县市场监督管理局,913302250792389697,-,存续,针织品、服装制造、加工；棉纱批发、零售。,913302250792389697,-,2013-11-11 至 无固定期限,存续,,,0574-65690143,暂无
石家庄经济技术开发区三峡路18号,石家庄兆通金刚石工贸有限公司开发区分公司,有限责任公司分公司,石家庄经济技术开发区三峡路18号,2008-10-23,河北省,制造业,2016-03-18,,-,-,藁城区工商行政管理局,91130182681390007J,68139000-7,存续（在营、开业、在册）,金刚石锯片、水钻头生产、批发、零售（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,91130182681390007J,-,2008-10-23 至 无固定期限,存续,,,13288743849,2875337661@qq.com
萧县丁里前梁庄村,萧县中顺石料厂,个人独资企业,萧县丁里前梁庄村,2010-05-17,安徽省,制造业,2017-06-30,朱慧敏,-,-,萧县市场监督管理局,913413220529262004,05292620-0,吊销，未注销,一般经营项目：建筑用花岗石加工、销售**,913413220529262004,-,*** 至 无固定期限,,,,0557-5022531,736860792@qq.com
成都市青白江区工业集中发展区复兴大道639号,四川可塑新材料科技有限公司,有限责任公司(自然人投资或控股),成都市青白江区工业集中发展区复兴大道639号,2016-08-11,四川省,制造业,2016-08-11,冷恒熠,-,100万人民币,青白江区市场和质量监督管理局,91510113MA61X62084,-,存续（在营、开业、在册）,研发、生产、销售：塑料助剂、橡胶助剂、复合材料、建材、装饰材料；销售：化工原料及产品（不含危险品）、塑料制品、化工设备、五金、交电、百货、机械产品；货物及技术进出口业务（不含国家限制类）（以上依法须经批准的项目，经相关部门批准后方可开展经营活动）。,91510113MA61X62084,-,2016-08-11 至 3999-01-01,存续,,,13320948887,chengdulr@163.com
随州市曾都区北郊两水首义村,随州市欣祥工贸有限责任公司,有限责任公司(自然人投资或控股),随州市曾都区北郊两水首义村,2001-07-26,湖北省,制造业,2014-04-22,谢勇,-,1520万元,随州市工商行政管理局,91421300730841223R,73084122-3,存续（在营、开业、在册）,大米加工、销售；粮食收购。（上述经营项目需持有效许可证并按许可内容经营）,91421300730841223R,-,2001-07-26 至 无固定期限,存续,,,0722-3309258,2322469478@qq.com
江阴市璜土高栗村山下头8－1号,江阴市飞叶包装有限公司,有限责任公司,江阴市璜土高栗村山下头8－1号,2016-08-17,江苏省,制造业,2016-08-17,徐丹飞,-,200万元人民币,江阴市市场监督管理局,91320281MA1MRNN99N,-,在业,塑料集装袋、薄膜袋、编织袋、吊带、木托盘、木包装箱、纸箱、金属包装容器、其他塑料制品的制造、加工、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91320281MA1MRNN99N,-,2016-08-17 至 2046-08-16,在业,,,13915307701,1192027541@qq.com
浙江省金华市永康市古山镇大江畈村下井头自然村35号,永康市宝时洁日用品有限公司,有限责任公司(自然人独资),浙江省金华市永康市古山镇大江畈村下井头自然村35号,2017-05-17,浙江省,制造业,2017-05-17,陈海挺,-,110万人民币,永康市市场监督管理局,91330784MA29LHBU54,-,存续,清洁用具、保温杯、日用塑料制品、日用五金制品制造、加工、销售；注塑机加工（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91330784MA29LHBU54,-,2017-05-17 至 9999-09-09,存续,,,暂无,暂无
泸州市泸县喻寺镇顺墙街,四川龙韵郎酒业股份有限公司,股份有限公司(非上市、自然人投资或控股),泸州市泸县喻寺镇顺墙街,2016-07-06,四川省,制造业,2016-07-06,张志文,-,100万人民币,泸州市工商行政管理局,91510500MA6227640Q,-,存续（在营、开业、在册）,酒的生产、销售；食品销售（以上项目未取得相关行政许可，不得开展经营活动）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91510500MA6227640Q,-,2016-07-06 至 无固定期限,存续,,,15256970909,暂无
福建省泉州市南安市水头镇华源电镀集控区29栋厂房东侧,泉州安运制版有限公司,有限责任公司(自然人独资),福建省泉州市南安市水头镇华源电镀集控区29栋厂房东侧,2017-06-06,福建省,制造业,2017-07-17,史红波,-,1000万人民币,福建省南安市市场监督管理局,91350582MA2YA9MC9R,-,存续（在营、开业、在册）,印版、滚筒制造；包装装潢印刷品及其他印刷品印刷；专业化设计服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91350582MA2YA9MC9R,-,2017-06-06 至 2037-06-05,存续,,,暂无,暂无
广州市白云区田心江街四巷3号一楼,广州忠鸿纸品包装有限公司,有限责任公司(自然人独资),广州市白云区田心江街四巷3号一楼,2016-05-26,广东省,制造业,2016-05-26,谢水红,440111001002089,50万,广州市白云区工商行政管理局,91440111MA59D2E428,-,存续,纸和纸板容器制造;加工纸制造;其他纸制品制造;机制纸及纸板制造;商品批发贸易（许可审批类商品除外）;商品零售贸易（许可审批类商品除外）;货物进出口（专营专控商品除外）;包装材料的销售;(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,91440111MA59D2E428,-,2016-05-26 至 2019-04-28,存续,,,18680474419,暂无
深圳市宝安区松岗街道东方定厚路5号,宝安区松岗史密斯灯饰制品厂,来料加工,深圳市宝安区松岗街道东方定厚路5号,1998-04-20,广东省,制造业,2007-12-14,文东光,-,(香港元)0万元,深圳市市场监督管理局,91440300X18938769D,X1893876-9,存续（在营、开业、在册）,灯饰及零配件。,91440300X18938769D,-,1998-04-20 至 2013-04-14,存续,,,暂无,暂无
河北省沧州市泊头市洼里王镇后高尧村,泊头市信诺特金属制品有限公司,有限责任公司,河北省沧州市泊头市洼里王镇后高尧村,2015-12-21,河北省,制造业,2015-12-21,王猛,-,50万人民币,泊头市市场监督管理局,91130981MA07M25002,-,存续（在营、开业、在册）,铁艺制品生产销售；木制品、玻璃制品销售；货物进出口（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91130981MA07M25002,-,2015-12-21 至 2035-12-20,存续,,http://sinotmetalwork.en.alibaba.com,15100808324,641224562@qq.com
玉环市坎门街道水龙村,台州林若传动轴有限公司,有限责任公司(自然人投资或控股),玉环市坎门街道水龙村,2016-03-22,浙江省,制造业,2017-09-20,史微微,331021000208180,30万人民币,玉环市市场监督管理局,91331021MA28GA3K5A,MA28GA3K5,存续,传动轴、汽车配件制造加工，货物进出口、技术进出口。,91331021MA28GA3K5A,-,2016-03-22 至 2036-03-21,存续,,,15058764455,暂无
绵阳市游仙区新桥镇新跃村,四川牧康食品有限公司,有限责任公司(自然人投资或控股),绵阳市游仙区新桥镇新跃村,2016-06-27,四川省,制造业,2016-06-27,邓贤君,-,100万人民币,绵阳市游仙区食品药品和工商质监管理局,91510704MA624BE430,-,存续（在营、开业、在册）,食品研发；食品包装设计；食品生产、销售；农作物、蔬菜、水果的种植、销售；利用互联网从事预包装食品、日用百货、花卉、苗木、蔬菜、水果的销售。（以上经营范围中依法须经批准的项目，经相关部门批准后方可开展经营活动）,91510704MA624BE430,-,2016-06-27 至 无固定期限,存续,,,15082166868,暂无
南充市丝绸路141-1-2-6-26号,四川南充亿达塑钢门窗有限公司,有限责任公司(自然人投资或控股),南充市丝绸路141-1-2-6-26号,1999-03-10,四川省,制造业,2016-11-03,左超洋,-,100万人民币,南充市顺庆区工商和质量技术监督局,915113027672867453,76728674-5,存续（在营、开业、在册）,加工、安装塑钢门窗，销售装饰材料、建材。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,915113027672867453,-,2000-07-19 至 2018-05-10,存续,,,13990777986,595308832@qq.com
上海市闵行区新骏环路245号1幢D203室,世德电子元件（上海）有限公司,有限责任公司(外国法人独资),上海市闵行区新骏环路245号1幢D203室,2011-10-08,上海市,制造业,2011-10-08,MARC STANESBY,310000400663948,60万欧元,上海市工商行政管理局,91310000582123691P,58212369-1,存续（在营、开业、在册）,"开发和生产电子开关和电气开关（包括控制开关、低压电子开关）及其零配件，销售自产产品并提供售后服务和技术支持；从事上述产品的批发、进出口、佣金代理（拍卖除外）及其它相关配套服务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。
【依法须经批准的项目，经相关部门批准后方可开展经营活动】",91310000582123691P,-,2011-10-08 至 2041-10-07,存续,,www.steute.cn,021-64457886,info@steute.cn
忻州市开发区原山西铁路工程公司院内,忻州市开发区众创乐汇商贸有限公司,有限责任公司(自然人投资或控股),忻州市开发区原山西铁路工程公司院内,2016-04-20,山西省,制造业,2016-04-20,郭志勇,-,1000万元,山西省忻州市工商行政管理局开发区分局,91140900MA0GTXYQ9F,-,存续（在营、开业、在册）,经营：特色食品、农副产品的加工与销售；半成品食品、预包装食品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91140900MA0GTXYQ9F,-,2016-04-20 至 2019-04-19,存续,,,13903501829,540042701@qq.com
东莞市长安镇乌沙社区兴二路18号七楼708号厂房,九正精工（东莞）有限公司,有限责任公司(自然人投资或控股),东莞市长安镇乌沙社区兴二路18号七楼708号厂房,2016-11-03,广东省,制造业,2017-03-24,莫秋波,441900003500048,50万元人民币,东莞市工商行政管理局,91441900MA4UXC3N1D,-,存续,产销：模具及配件、金属制品、塑胶制品、硅胶制品、橡胶制品、包装材料；金属表面处理。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,91441900MA4UXC3N1D,-,2016-11-03 至 无固定期限,存续,,,13728300605,暂无
甘肃省酒泉市肃州区公园路30号,酒泉伯朗服饰有限公司,有限责任公司(自然人投资或控股),甘肃省酒泉市肃州区公园路30号,2016-09-01,甘肃省,制造业,2016-09-01,庞俊杰,620902200062641,200万元人民币,肃州区工商行政管理局,91620902MA72K3H58A,-,存续（在营、开业、在册）,服装设计、制作、加工、批发及零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,91620902MA72K3H58A,-,2016-09-01 至 2036-08-31,存续,,,18293707227,303877421@qq.com
甘肃省酒泉市肃州区北新街2号-2号楼2号院3-1-1号,酒泉简易材料有限公司,有限责任公司,甘肃省酒泉市肃州区北新街2号-2号楼2号院3-1-1号,2015-03-30,甘肃省,制造业,2016-07-06,安小玲,-,50万元人民币,肃州区工商行政管理局,916209023321665339,33216653-3,存续（在营、开业、在册）,建筑材料、装饰装璜材料、展示材料、新型材料的研制、开发、加工、销售。***,916209023321665339,-,2015-03-30 至 2035-03-29,存续,,,18193733559,631568832@qq.com
浙江省宁海县岔路镇工业园区,克拉克密封件（宁波）有限公司,有限责任公司(外商合资),浙江省宁海县岔路镇工业园区,2008-01-24,浙江省,制造业,2016-09-21,HENRY WINSTON ZAHN,330200400019571,448万美元,宁海县市场监督管理局,91330226671204821H,67120482-1,存续,橡胶密封件及其它橡胶制品(除国家限制外商投资项目)制造、加工；自营和代理货物及技术的进出口，但国家限定经营或禁止进出口的货物及技术除外（不含分销）。,91330226671204821H,-,2008-01-24 至 2058-01-23,存续,,http://www.clarkseals.cn/,0574-65131226,sales@clarkseals.cn
甘肃省酒泉市肃州区航空路2号（肃州区下河清农场）,酒泉下农节水滴灌有限公司,有限责任公司(自然人投资或控股),甘肃省酒泉市肃州区航空路2号（肃州区下河清农场）,2014-11-04,甘肃省,制造业,2017-04-01,李永武,620902200034250,200万元人民币,肃州区工商行政管理局,916209023161143708,-,存续（在营、开业、在册）,"节水灌溉用塑料制品及过滤器、施肥器、排灌机械、建筑用塑料管材、管件、型材、板材、滴灌管、滴管带的制造、安装；节水材料研发及循环利用；回收废旧塑料、造粒、滴灌带生产及销售。(依法需经批准的项目,经相关部门批准后方可开展经营活动)***",916209023161143708,-,2014-11-04 至 2034-11-03,存续,,,13893707602,986613795@qq.com
醴陵市白兔潭镇长庆村新屋组,醴陵市旺鑫花炮厂（普通合伙）,普通合伙企业,醴陵市白兔潭镇长庆村新屋组,2016-05-04,湖南省,制造业,2016-05-04,李志祥,-,-,醴陵市食品药品工商质量监督管理局,91430281MA4L45TX3W,-,存续（在营、开业、在册）,爆竹类：爆竹类（C）级生产及销售（限2019年4月29日之前有效）。,91430281MA4L45TX3W,-,2016-05-04 至 无固定期限,存续,,,13907418709,暂无
辛集市商业城国泰路１１号,辛集市华硕皮业制衣有限公司,有限责任公司,辛集市商业城国泰路１１号,2004-10-18,河北省,制造业,2015-10-19,徐英华,-,50万人民币,辛集市工商行政管理局,91130181768105811U,76810581-1,存续（在营、开业、在册）,加工、销售：皮革服装、细皮制品、羊绒制品、服装、毛领、箱包；收购：生狐皮、裘皮；经营本企业自产产品和技术的出口业务和本企业所需的原辅材料、机械设备、零配件及技术的进口业务，但国家限定公司经营和禁止进出口的商品及技术除外※※,91130181768105811U,"Xinji Huashuo Leather Garment Co., Ltd.",2004-10-18 至 无固定期限,存续,,,13934149629,暂无
寿光市台头镇三座楼村村北,寿光市长久防水材料有限公司,有限责任公司(自然人独资),寿光市台头镇三座楼村村北,2016-07-11,山东省,制造业,2016-07-11,刘磊,370783200126945,300万,寿光市市场监督管理局,91370783MA3CDJ8T40,-,在营,生产、销售：防水建筑材料、非织造布；承揽：建筑防水工程、防腐保温工程；经营国家允许范围内的货物与技术的进出口业务（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,91370783MA3CDJ8T40,-,2016-07-11 至 2046-07-10,在业,,,13583635955,13583635955@163.com
山东省临沂市莒南县大店镇四角岭村,莒南县鑫航磨料磨具厂,个人独资企业,山东省临沂市莒南县大店镇四角岭村,2017-03-30,山东省,制造业,2017-03-30,杨佃光,371327300016346,30万,莒南县工商行政管理局,91371327MA3DE73M9D,-,在营,磨料、磨具加工、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91371327MA3DE73M9D,-,2017-03-30 至 无固定期限,在业,,,暂无,暂无
山东省日照市莒县浮来山镇胡家街,莒县浮来山塑料有限公司,有限责任公司(自然人投资或控股),山东省日照市莒县浮来山镇胡家街,2001-11-05,山东省,制造业,2016-04-22,侯平伟,371122228002236,300万人民币,莒县市场监督管理局,91371122168532721T,16853272-1,在营,塑料编织制品自产自销  经营本企业自产产品的出口业务和本企业所需的机械设备  零配件  原辅材料的进口业务  但国家限定公司经营或禁止进出口的商品及技术除外(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,91371122168532721T,"Juxian Flying Mountain Plastic Co., Ltd.",2001-11-05 至 2035-11-04,在业,,,13963338281,1912532717@qq.com
山东省聊城市莘县王奉镇北滩村038号,莘县鸿翔汽车座垫加工厂,个人独资企业,山东省聊城市莘县王奉镇北滩村038号,2017-03-15,山东省,制造业,2017-03-15,王怀宝,371522300029207,50万,莘县工商行政管理局,91371522MA3DBA2Y2U,-,在营,汽车座垫加工、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91371522MA3DBA2Y2U,-,2017-03-15 至 无固定期限,在业,,,暂无,暂无
山东省聊城市莘县朝城镇江楼村208号,莘县奇嘉玻璃钢有限公司,有限责任公司(自然人投资或控股),山东省聊城市莘县朝城镇江楼村208号,2017-03-30,山东省,制造业,2017-03-30,江建军,371522200049042,100万,莘县工商行政管理局,91371522MA3DEBL20D,-,在营,玻璃钢生产、加工、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91371522MA3DEBL20D,-,2017-03-30 至 无固定期限,在业,,,暂无,暂无
山东省日照市莒县城阳镇西关社区西大街村,莒县华川金属制品有限公司,有限责任公司(自然人独资),山东省日照市莒县城阳镇西关社区西大街村,2017-02-27,,制造业,2017-10-17,郭兴旺,371122200046305,100万,莒县市场监督管理局,91371122MA3D88CG7B,-,在营,金属制品加工、销售。建筑装饰工程、园林绿化工程施工；钢结构安装，广告牌制作、安装；建筑装饰材料（不含危险化学品）销售；建筑机械设备租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91371122MA3D88CG7B,-,2017-02-27 至 2027-02-26,在业,,,暂无,暂无
山东省日照市莒县夏庄镇石屯社区临港路（日照市州泰金属制造有限公司院内）,莒县盛钜塑料制品有限责任公司,有限责任公司(自然人独资),山东省日照市莒县夏庄镇石屯社区临港路（日照市州泰金属制造有限公司院内）,2016-07-27,山东省,制造业,2016-07-27,于香台,371122200036821,100万,莒县市场监督管理局,91371122MA3CEB827P,-,在营,塑料板及其他塑料制品的生产、销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91371122MA3CEB827P,-,2016-07-27 至 2025-07-26,在业,,,13616330158,745796000@qq.com
湖南省澧县城头山镇牌楼村四组,澧县新民新型环保建材厂,个人独资企业,湖南省澧县城头山镇牌楼村四组,2016-01-28,湖南省,制造业,2016-08-08,李俊三,-,-,澧县市场和质量监督管理局,91430723MA4L2RKK98,-,注销,环保砖生产销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91430723MA4L2RKK98,-,*** 至 无固定期限,,,,暂无,暂无
巩义市夹津口镇韵沟村,巩义市华宇净水材料厂,个人独资企业,巩义市夹津口镇韵沟村,2008-05-06,河南省,制造业,2008-05-06,孙贵章,-,-,巩义市工商行政管理局,91410181675359740Y,67535974-0,存续（在营、开业、在册）,生产：净水滤料。,91410181675359740Y,Gongyi Huayu PuregenWater Material Factory,*** 至 无固定期限,存续,,,15649298888,94659876@qq.com
潮州市潮安区庵埠镇文里村高园二幢11号铺面,潮州市潮安区达威尔空气净化工程有限公司,有限责任公司(自然人投资或控股),潮州市潮安区庵埠镇文里村高园二幢11号铺面,2014-07-16,广东省,制造业,2017-08-10,李政武,445121000072207,290万元人民币,潮州市潮安区工商行政管理局,914451033981919180,39819191-8,存续,车间空气净化工程系统的设计、安装、维护；销售：空气净化设备。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,914451033981919180,-,2014-07-16 至 无固定期限,存续,,,5813689,754762897@qq.com
句容市华阳镇大自然花园12幢502室,句容丰彩自行车配件有限公司,有限责任公司(自然人独资),句容市华阳镇大自然花园12幢502室,2016-11-22,江苏省,制造业,2016-11-22,邱昌海,-,150万元人民币,句容市市场监督管理局,91321183MA1N0PA95J,-,在业,自行车配件、纸箱、玩具、箱包、服装的加工、生产、销售；园林绿化工程、房屋建筑工程施工；电器及机电设备、金属材料、五金产品、电子产品、针织品、纺织品、工艺美术品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91321183MA1N0PA95J,-,2016-11-22 至 无固定期限,在业,,,13913405988,jrftco@163.com
芦山县寇家坝工业园区,四川顺润纺织科技有限公司,有限责任公司(自然人投资或控股),芦山县寇家坝工业园区,2015-09-30,四川省,制造业,2015-09-30,李茂水,-,100万人民币,芦山县工商和质监管理局,91511826MA62C0128F,-,存续（在营、开业、在册）,纺织品原料及成品（锦纶、氨纶）销售，进出口业务，品牌经营，技术咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91511826MA62C0128F,-,2015-09-30 至 2035-09-20,存续,,,0835-6521788,1292583349@qq.com
成都市金牛区金府路593号7栋16层8号,四川松柏王家具有限公司,有限责任公司(自然人投资或控股),成都市金牛区金府路593号7栋16层8号,2014-01-14,四川省,制造业,2016-12-21,李姝蓉,-,200万人民币,四川省工商行政管理局,91510000089873886A,08987388-6,存续（在营、开业、在册）,一般经营项目（以下范围不含前置许可项目，后置许可项目凭许可证或审批文件经营）：家具制造业；木制品制造；商品批发与零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91510000089873886A,-,2014-01-14 至 无固定期限,存续,,,18980799166,104249586@qq.com
深圳市龙岗区良安田村大松园路88号,立强精密五金(深圳)有限公司,独资经营(港资),深圳市龙岗区良安田村大松园路88号,2003-09-02,广东省,制造业,2016-08-29,蔡柱强,440307503482870,(香港元)200万元,深圳市市场监督管理局,914403007504894661,75048946-6,存续（在营、开业、在册）,生产经营五金制品、工模、粉末冶金制品、钟表、首饰（以上涉及许可经营的，取得许可证后方可经营）。；,914403007504894661,-,2003-09-02 至 2033-09-02,存续,,http://www.lapkeung.com,0755-84677667,admin01@keung.com
成都市成华区东三环路二段龙潭工业园成致路24号,四川腾跃电器有限公司,有限责任公司(自然人投资或控股),成都市成华区东三环路二段龙潭工业园成致路24号,2015-04-27,四川省,制造业,2016-05-24,付吉锋,-,1000万人民币,成华市场和质量监督管理局,915101083320822250,33208222-5,存续（在营、开业、在册）,生产及销售：家用电器、机电设备、五金交电、电线电缆、金属制品（不含稀贵金属）；高低压成套设备和自动化控制设备的研发、生产、销售、安装；电力工程、通信工程的施工（凭资质证经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,915101083320822250,-,2015-04-27 至 3999-01-01,存续,,,18140107090,暂无
深圳市宝安区松岗街道罗田社区象山大道22号B栋一楼A区,立旺车业（深圳）有限公司,有限责任公司（外国法人独资）,深圳市宝安区松岗街道罗田社区象山大道22号B栋一楼A区,2001-06-04,广东省,制造业,2015-07-24,黄士维,440306503312523,(美元)160万元,深圳市市场监督管理局,91440300727160566K,72716056-6,存续（在营、开业、在册）,生产经营自行车车架、自行车零配件、折叠自行车、计算机零配件、运动器材、塑胶制品、汽机车零件、家用 电器、日用家具的表面涂装加工及组装销售。产品100％外销。,91440300727160566K,"Liwang Paint Baking Lacquer (Shenzhen) Co., Ltd.",2001-06-04 至 2021-06-04,存续,立旺烤漆（深圳）有限公司   华澧烤漆（深圳）有限公司,,18319709310,2281017969@qq.com
安徽省寿县正阳关镇镇南街道船舶工业园安徽省寿县顺拓服装产业有限公司院内,寿县联民水泥制品有限公司,有限责任公司(自然人投资或控股),安徽省寿县正阳关镇镇南街道船舶工业园安徽省寿县顺拓服装产业有限公司院内,2015-09-14,安徽省,制造业,2015-09-14,曹磊,-,300万元,寿县市场监督管理局,91340422MA2N5WG326,-,存续（在营、开业、在册）,混凝土制造、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）**,91340422MA2N5WG326,-,2015-09-14 至 无固定期限,存续,,,18326366689,1049912787@qq.com
